gene_id,GO,level
Solyc01g096070,GO:0006355,biological_process
Solyc01g096070,GO:0009725,biological_process
Solyc01g096120,GO:0003677,molecular_function
Solyc01g096120,GO:0006355,biological_process
Solyc01g096130,GO:0005789,cellular_component
Solyc01g096130,GO:0016021,cellular_component
Solyc01g096140,GO:0015743,biological_process
Solyc01g096160,GO:0016772,molecular_function
Solyc01g096170,GO:0004672,molecular_function
Solyc01g096170,GO:0005524,molecular_function
Solyc01g096170,GO:0006468,biological_process
Solyc01g096180,GO:0003676,molecular_function
Solyc01g096200,GO:0004842,molecular_function
Solyc01g096200,GO:0016567,biological_process
Solyc01g096220,GO:0003924,molecular_function
Solyc01g096220,GO:0005525,molecular_function
Solyc01g096230,GO:0005524,molecular_function
Solyc01g096280,GO:0005506,molecular_function
Solyc01g096280,GO:0016705,molecular_function
Solyc01g096280,GO:0020037,molecular_function
Solyc01g096280,GO:0055114,biological_process
Solyc01g096290,GO:0003735,molecular_function
Solyc01g096290,GO:0005840,cellular_component
Solyc01g096290,GO:0006412,biological_process
Solyc01g096320,GO:0003677,molecular_function
Solyc01g096340,GO:0009733,biological_process
Solyc01g096350,GO:0004672,molecular_function
Solyc01g096350,GO:0005524,molecular_function
Solyc01g096350,GO:0006468,biological_process
Solyc01g096360,GO:0007165,biological_process
Solyc01g096370,GO:0046983,molecular_function
Solyc01g096390,GO:0003677,molecular_function
Solyc01g096390,GO:0003899,molecular_function
Solyc01g096390,GO:0006351,biological_process
Solyc01g096410,GO:0016307,molecular_function
Solyc01g096410,GO:0046488,biological_process
Solyc01g096420,GO:0016491,molecular_function
Solyc01g096430,GO:0016491,molecular_function
Solyc01g096460,GO:0005515,molecular_function
Solyc01g096480,GO:0045454,biological_process
Solyc01g096490,GO:0004672,molecular_function
Solyc01g096490,GO:0005524,molecular_function
Solyc01g096490,GO:0006468,biological_process
Solyc01g096500,GO:0016301,molecular_function
Solyc01g096520,GO:0000413,biological_process
Solyc01g096520,GO:0003755,molecular_function
Solyc01g096560,GO:0004252,molecular_function
Solyc01g096560,GO:0006508,biological_process
Solyc01g096670,GO:0005506,molecular_function
Solyc01g096670,GO:0016705,molecular_function
Solyc01g096670,GO:0020037,molecular_function
Solyc01g096670,GO:0055114,biological_process
Solyc01g096690,GO:0004672,molecular_function
Solyc01g096690,GO:0006468,biological_process
Solyc01g096720,GO:0016021,cellular_component
Solyc01g096720,GO:0055085,biological_process
Solyc01g096730,GO:0016021,cellular_component
Solyc01g096730,GO:0055085,biological_process
Solyc01g096740,GO:0016021,cellular_component
Solyc01g096740,GO:0055085,biological_process
Solyc01g096750,GO:0003676,molecular_function
